name,prompt,negative_prompt
>>>天气状况,,
晴天 Sunny,"sunny style {prompt}. Clear, blue sky with bright sunlight shining evenly, creating well - lit scenes, sharp shadows, and a warm, inviting atmosphere","Cloudy sky, overcast conditions, absence of direct sunlight"
多云 Cloudy,"cloudy style {prompt}. The sky is filled with various - sized white or gray clouds, diffusing sunlight, resulting in soft, even lighting and a somewhat subdued color palette","Clear, cloud - free sky, intense direct sunlight, no cloud cover"
阴天 Overcast,"overcast style {prompt}. A uniformly gray, thick cloud cover that blocks most sunlight, leading to a dim, flat - lit environment with minimal shadows","Bright sunlight, clear patches in the sky, high - contrast lighting"
雨天 Rainy,"rainy style {prompt}. Falling raindrops visible, wet surfaces reflecting diffused light, gray - hued sky, and a generally damp and cool atmosphere","Dry ground, clear sky, absence of raindrops or wetness"
暴雨 Heavy Rain,"heavy rain style {prompt}. Torrential downpour with large, fast - falling raindrops, puddles forming quickly, reduced visibility due to the intensity of the rain, and a sense of chaos in the weather","Light rain, drizzle, clear weather with no rain"
雪天 Snowy,"snowy style {prompt}. Snowflakes gently falling, a white - covered landscape, soft, diffused light due to the snow reflecting and scattering light, and a cold, serene atmosphere","Rain, clear sky, no snow cover or falling snow"
暴雪 Blizzard,"blizzard style {prompt}. Intense snowfall with strong winds, near - zero visibility, large snowdrifts forming, and a harsh, cold environment","Light snow, calm weather, clear visibility, no snowdrifts"
雾天 Foggy,"foggy style {prompt}. Dense fog that obscures distant objects, diffuses light to create a soft, hazy glow, and gives a mysterious, dreamy quality to the scene","Clear visibility, no fog or haze, sharp - edged views of distant objects"
雷雨天 Thunderstorm,"thunderstorm style {prompt}. Dark, threatening clouds, flashes of lightning, loud thunderclaps, heavy rain, and a sense of danger and energy in the atmosphere","Clear sky, calm weather, no lightning or thunder"
沙尘天 Sandstorm,"sandstorm style {prompt}. A swirling mass of sand and dust, reduced visibility, a yellow - brown tint to the sky, and a gritty, dry environment","Clear air, no sand or dust in the air, clean - looking sky and landscape"
天空,"(pure sky background:1.3), clear blue sky, soft white clouds, vibrant sunset hues, golden hour light, serene atmosphere, deep blue gradient, pastel dawn colors, crisp air, infinite expanse, high visibility, gentle sky tones, tranquil horizon, ethereal light, subtle gradients, natural light, pristine clarity, atmospheric depth, seamless sky",
